rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	28.49
2	BARBERENA	14.25
4	JUTIAPA	14.25
5	GUASTATOYA	28.49
6	ZACAPA	14.25
8	ESQUIPULAS	14.25
9	PUERTO BARRIOS	14.25
10	SALAMA	14.25
11	PANZOS	14.25
13	MONJA BLANCA	14.25
14	TECPAN	14.25
15	CHIQUIMULILLA	14.25
16	FRAY BARTOLOME DE LAS CASAS	14.25
17	SANTA ELENA	14.25
18	CHIMALTENANGO	28.49
20	MELCHOR DE MENCOS	14.25
21	TOTONICAPAN	14.25
22	SOLOLA	14.25
24	EL TUMBADOR	14.25
25	MALACATAN	14.25
29	PUEBLO NUEVO VIÑAS	14.25
30	LA MAQUINA	14.25
31	EL QUICHE	28.49
32	HUEHUETENANGO	14.25
35	SANTIAGO ATITLAN	14.25
36	MORALES	14.25
38	PATZUN	14.25
40	PLAYA GRANDE	14.25
41	LA DEMOCRACIA	14.25
42	IPALA	14.25
43	EL ESTOR	14.25
44	LA TINTA	14.25
45	LA MESILLA	28.49
46	SANTO TOMAS CHICHE	14.25
47	ALOTENANGO	14.25
49	CARCHA	28.49
50	RAXRUJA	14.25
52	NEBAJ	14.25
53	JOYABAJ	14.25
54	USPANTAN	14.25
55	SOLOMA	14.25
56	SAN ANTONIO HUISTA	14.25
57	SANTA CRUZ BARILLAS	14.25
58	CUILCO	14.25
59	SAN CRISTOBAL VERAPAZ	14.25
60	SACAPULAS	14.25
61	EL CHAL DOLORES	14.25
62	SAN LUIS	14.25
63	SAYAXCHE	28.49
64	LAS CRUCES	14.25
65	RABINAL	14.25
66	SAN MARTIN JILOTEPEQUE	14.25
68	JALPATAGUA	14.25
69	GUALAN	14.25
70	SAN PEDRO NECTA	14.25
71	AGENCIA  18 CALLE ZONA 1	14.25
72	RIO DULCE	14.25
73	AGUACATAN	14.25
74	MINISTERIO DE FINANZAS PUBLICAS 	14.25
75	SAN CARLOS SIJA	14.25
76	CIUDAD PEDRO DE ALVARADO	14.25
78	CENTRAL DE MAYOREO (CENMA)	14.25
79	MOMOSTENANGO	28.49
80	ANEXO NUEVA SANTA ROSA 	14.25
82	CAMOTAN	14.25
87	OLOPA	14.25
88	LA UNION	14.25
89	JACALTENANGO	14.25
90	PACHALUM	14.25
92	SAN MARCOS	28.49
93	SAN PEDRO LA LAGUNA	28.49
95	SAN FRANCISCO EL ALTO	28.49
98	CHACTE	14.25
99	OFICINA ZONA 1 (CENTRO)	14.25
100	ADUANA VALLE NUEVO	14.25
101	SAN CRISTOBAL FRONTERA	28.49
103	ADUANA EL CARMEN	14.25
104	ADUANA PUERTO BARRIOS	14.25
105	SIJA QUETZALTENANGO	14.25
106	ADUANA AGUA CALIENTE	14.25
108	EL FLORIDO	14.25
109	ROOSEVELTH	42.74
110	ADUANA PEDRO DE ALVARADO	14.25
111	CUILAPA	14.25
113	ADUANA MELCHOR DE MENCOS	14.25
114	PUERTO QUETZAL	14.25
116	TODOS SANTOS HUEHUETENANGO	14.25
117	NENTON	14.25
118	BOULEVAR LIBERACION	14.25
119	SANTA MARIA IXHUATAN	14.25
120	AUTOBANCO ASUNCION MITA	14.25
121	CHICHICASTENANGO	14.25
124	COBAN IMPERIAL	28.49
125	CHISEC	14.25
126	SAN MANUEL CHAPARRON	14.25
127	AUTOBANCO TELEMAN	14.25
128	CONCEPCION HUISTA	14.25
129	EL CHOL	14.25
130	GRANADOS	14.25
131	REFORMA SAN MARCOS	14.25
132	AGENCIA ZONA 6 (MARTI)	14.25
133	C.C. PLAZA MAGDALENA	14.25
134	AGENCIA ZONA 7	14.25
135	AGENCIA ZONA 5	14.25
136	METRONORTE	28.49
137	VILLA NUEVA	14.25
138	AGENCIA MIXCO	14.25
139	AGENCIA ZONA 19	28.49
140	SAT FLORES	14.25
141	TERMINAL HUEHUETENANGO	14.25
142	PLAZA PALMERAS	14.25
144	SAN BENITO PETEN	14.25
146	INGUAT	14.25
147	AGENCIA SAT ZACAPA	28.49
148	COLONIAL ANTIGUA	14.25
149	SANTA EULALIA	14.25
150	SAT - CHIMALTENANGO	14.25
151	SALAMA CENTRO	14.25
152	AUTOBANCO PROGRESO JUTIAPA	14.25
153	AUTOBANCO CIUDAD SAN CRISTOBAL	14.25
154	AGUA BLANCA	14.25
155	AUTOBANCO LAS MINAS ESQUIPULAS	14.25
156	PANAJACHEL	14.25
157	SAT - JALAPA	14.25
158	SAMAYAC	14.25
159	SAN ANDRES SEMETABAJ	14.25
160	AUTOBANCO TEXACO CHIQUIMULA	14.25
162	CAMOJA	14.25
163	CUNEN	14.25
164	AMATITLAN	28.49
165	XELAJU	28.49
166	TECULUTAN	14.25
168	LA TORRE	14.25
169	EL PROGRESO	14.25
170	C.D.R.O	14.25
173	19 CALLE	14.25
174	PURULHA	14.25
175	ORGANISMO JUDICIAL	14.25
177	LA DEMOCRACIA ESCUINTLA	14.25
178	AEROPUERTO	42.74
179	PALIN	14.25
180	SANARATE	14.25
181	CHICAMAN	14.25
183	PRISA	14.25
184	TERMINAL JUTIAPA	28.49
185	IGSS CENTRAL	14.25
187	SAN ANTONIO SUCHITEPEQUEZ	14.25
188	IGSS ZONA 5	14.25
189	19 AVENIDA ZONA 6	14.25
190	IGSS ZONA 11	14.25
192	IGSS MONTE REAL	14.25
193	IGSS RETALHULEU	14.25
194	IGSS PAMPLONA	14.25
195	TIQUISATE	14.25
196	SAN MIGUEL POCHUTA	14.25
197	TACTIC	14.25
198	SIMON BOLIVAR MORALES	14.25
199	MERCADO QUETZALTENANGO	14.25
200	CHAJUL	14.25
201	SALCAJA	28.49
202	MERCADO SANTO TOMAS DE CASTILLA	14.25
203	PATULUL	14.25
204	CHICACAO	14.25
205	IGSS ZONA 9	14.25
206	MEGA PRIMMA	28.49
207	CHIQUIMULA CENTRO	14.25
209	EL NARANJO	28.49
210	MERCADO TERMINAL ZONA 4	14.25
211	MERCADO LA FLORIDA	14.25
213	MERCADO LA PARROQUIA	14.25
216	MUNICIPALIDAD DE VILLA NUEVA	14.25
219	LOS OLIVOS	14.25
220	MONJAS	14.25
221	SANTA LUCIA COTZ	14.25
222	SAN ANDRES SAJCABAJA	14.25
225	MERCADO EL GUARDA	14.25
227	SANTO TOMAS DE CASTILLA	14.25
228	SAT ZONA 9	28.49
231	SAN PABLO SAN MARCOS	14.25
232	SAN JUAN SACATEPEQUEZ	14.25
233	ALMOLONGA	14.25
235	CENTRO COMERCIAL MONSERRAT	14.25
237	BOCA DEL MONTE	14.25
238	ZACUALPA	14.25
240	SANTA ANA HUISTA	14.25
241	RIO HONDO	14.25
242	SAT MAZATENANGO	14.25
244	HOSPITAL ROOSEVELT	14.25
249	AUTOBANCO - QUETZALTENANGO	14.25
251	LIVINGSTON	14.25
256	USAC	14.25
257	AUTOBANCO - PETAPA	14.25
258	LA LIBERTAD	14.25
260	MERCADO SAN JOSE MERCANTIL	14.25
263	MERCADO LA PRESIDENTA	14.25
265	SAN FELIPE RETALHULEU	14.25
266	CONCEPCION LAS MINAS	14.25
272	SANSARE	14.25
273	ESCUINTLA CENTRO	14.25
275	MAZATENANGO PLAZA AMERICA	14.25
276	MERCADO COLON	14.25
278	MERCADO LA REFORMITA	14.25
279	MERCADO BETHANIA	14.25
280	SAN ANDRES ITZAPA	14.25
283	AUTOBANCO ZACAPA TAMARINDAL	14.25
284	ESTANZUELA	14.25
285	CHIANTLA	14.25
286	SAN IDELFONSO IXTAHUACAN	14.25
288	ORATORIO	14.25
292	NAHUALA	14.25
293	SANTA LUCIA UTATLAN	14.25
294	MORAZAN	14.25
295	TACANA	14.25
296	SAN JUAN OSTUNCALCO	14.25
297	PARRAMOS	14.25
298	EL FRUTAL	14.25
300	INFOM	14.25
301	ORGANISMO JUDICIAL QUETZALTENANGO	28.49
302	QUEZADA	14.25
303	SIBILIA	14.25
304	CANILLA	14.25
306	LA GOMERA	14.25
308	DOLORES	14.25
309	IPM	14.25
312	ORGANISMO JUDICIAL HUEHUETENANGO	14.25
313	IGLESIA BETHANIA QUETZALTENANGO	14.25
314	PRADERA XELA	14.25
315	DECAM	14.25
316	SAN JOSE POAQUIL	14.25
319	PLAZA JADE	14.25
321	CIUDAD VIEJA	14.25
324	JOCOTAN	14.25
325	SAN JOSE	14.25
326	AUTOBANCO TERMINAL RETALHULEU	28.49
329	AUTOBANCO COATEPEQUE	28.49
330	CASILLAS	14.25
332	AYARZA	14.25
333	SEGUROS UNIVERSALES	14.25
334	CENTRO COMERCIAL ZONA 4	14.25
335	USUMATLAN	14.25
336	CABANAS	14.25
337	SAN DIEGO	14.25
338	SAN ANTONIO ILOTENANGO	14.25
339	CONTRALORIA GENERAL DE CUENTAS	28.49
340	2 CALLE ZONA 9	28.49
341	MERCADO CANDELARIA	14.25
342	MERCADO JUSTO RUFINO BARRIOS	14.25
343	SAN MATEO IXTATAN	14.25
344	SAN CRISTOBAL ACASAGUASTLAN	14.25
345	MINISTERIO PUBLICO FISCALIAS	14.25
348	MERCADO BARILLAS	14.25
349	SAN MARCOS HUISTA	14.25
352	MINISTERIO DE RELACIONES EXTERIORES	14.25
353	MUNICIPALIDAD SANTA LUCIA COTZUMALGUAPA	14.25
354	CHAHAL	14.25
356	SAN AGUSTIN ACASAGUASTLAN	28.49
357	DESPENSA LOMAS DEL NORTE	14.25
358	MERCADO QUICHE ZONA 5	14.25
361	CUBULCO CENTRO	14.25
362	AVENIDA BOLIVAR	14.25
363	SAN JUAN COTZAL	14.25
364	MIRAFLORES	14.25
365	INTECAP	14.25
366	MEGA TERMINAL ZONA 4	14.25
367	AUTOBANCO JOYABAJ	14.25
369	CATARINA	14.25
370	GUAZACAPAN	14.25
376	CENTRO COMERCIAL PACIFIC CENTER	14.25
378	AUTOBANCO JALAPA	14.25
379	SANTA MARIA VISITACION	14.25
381	AUTOBANCO PUERTO BARRIOS	14.25
382	SAYAXCHE PARQUE CENTRAL	14.25
383	LAS ESCOBAS	14.25
384	CENTRO COMERCIAL MONTUFAR	14.25
386	AUTOBANCO SAN LUCAS SACATEPEQUEZ	14.25
389	SAN RAFAEL PIE DE LA CUESTA	14.25
390	PALESTINA DE LOS ALTOS	14.25
391	MERCADO GUASTATOYA	14.25
394	TERMINAL BAZARES	14.25
395	SANTA CATARINA IXTAHUACAN	14.25
396	CERINAL	14.25
397	ZARAGOZA CHIMALTENANGO	14.25
398	CONCEPCION TUTUAPA	14.25
400	SAN JUAN CHAMELCO	14.25
401	FRAIJANES	14.25
402	VISTA HERMOSA 2	14.25
403	BOSQUES DE SAN NICOLAS	14.25
404	AVENIDA PETAPA	14.25
405	NOVICENTRO	14.25
406	VILLA DE GUADALUPE	14.25
407	EL MUÑECON	14.25
408	CALZADA AGUILAR BATRES	14.25
409	LOS PROCERES	14.25
410	GEMINIS 10 NO. 2	14.25
411	METAMERCADO SAN JUAN	14.25
412	METATERMINAL DEL NORTE	14.25
413	SAN JOSE PINULA	14.25
414	ROOSEVELT 2	14.25
415	15 AVENIDA ZONA 6	14.25
417	SANTA FE	14.25
420	CENMA 2	14.25
422	ALPASA	14.25
424	VILLA NUEVA 2	14.25
425	MALACATAN 5A AVENIDA	14.25
426	HUEHUETENANGO TORRE	14.25
427	ASUNCION MITA BARRIO EL CENTRO	14.25
428	SALAMA 5A AVENIDA	14.25
430	SANTA ELENA 4A CALLE	14.25
431	POPTUN 7A AVENIDA	14.25
432	MAZATENANGO 7A CALLE ZONA 2	28.49
433	BARILLAS 2A AVENIDA	14.25
434	LA MESILLA CARRETERA INTERAMERICANA	14.25
436	TECUN UMAN 3A AVENIDA	28.49
437	CHIQUIMULA 8A. AVENIDA	14.25
438	SOLOMA ZONA 1	14.25
440	ESCUINTLA 3A CALLE	14.25
441	COLOMBA	14.25
443	SAN RAFAEL	14.25
444	JACALTENANGO 2	14.25
446	FLORES COSTA CUCA	14.25
447	LLANO LARGO	14.25
448	EL QUETZAL	14.25
449	SAN JOSE EL RODEO	14.25
452	MERCADO SANTO TOMAS DE CASTILLA	14.25
453	C.C. PRADERA ZONA10	14.25
455	MALACATANCITO HUEHUETENANGO	14.25
456	ORGANISMO JUDICIAL MIXCO	14.25
457	SIQUINALA	14.25
458	AUTOBANCO TECULUTAN	28.49
460	MONTERRICO	14.25
461	TAXISCO	14.25
464	AUTOBANCO SAN JUAN SACATEPEQUEZ	14.25
465	CHANMAGUA	14.25
466	SALTAN	14.25
467	SAN FRANCISCO PETEN	14.25
469	ORGANISMO JUDICIAL ESCUINTLA	14.25
470	NIMASAC	14.25
471	POLOGUA	14.25
474	CENTRO COMERCIAL TIKAL	14.25
475	LOS AMATES CENTRO	14.25
476	AUTOBANCO ALDEA MARISCOS	14.25
477	AUTOBANCO LA RUIDOSA	14.25
478	MERCADO LOS AMATES	14.25
481	CENTRO COMERCIAL MINUTO	14.25
482	GRACIAS A DIOS	14.25
483	SAN JUAN IXCOY	14.25
484	SAN JOSE CHACAYA	14.25
485	SAN JORGE ZACAPA	14.25
487	CONCEPCION CHIQUIRICHAPA	14.25
488	CHUARRANCHO	14.25
490	EL MILAGRO	14.25
493	MERCADO VILLA NUEVA	14.25
494	COMISARIATO MORALES	14.25
496	CENTRAL DE MAYOREO ALMOLONGA	14.25
497	AUTOBANCO LAS CHAMPAS	14.25
498	PARQUE JUTIAPA	14.25
500	WAY ASUNCION MITA	14.25
503	EL AMATILLO	14.25
504	AUTOBANCO GASO JUTIAPA	14.25
505	IGSS MONTUFAR	14.25
506	HORCONES 	14.25
507	SAN RAFAEL LAS FLORES	14.25
508	DESPENSA SANTA ELENA	14.25
509	CC SANTA AMELIA	14.25
510	SAN JOSE LA ARADA	14.25
512	UNION CANTINIL	14.25
514	SUPERMERCADO LA CASITA	14.25
515	UNIVERSITARIA JUTIAPA	14.25
517	CHINIQUE	14.25
518	MONTUFAR	14.25
520	SAN JUAN ATITAN	14.25
521	SANTIAGO CHIMALTENANGO	14.25
523	GRAMEEN PANAJACHEL	14.25
525	SAN MIGUEL CHICAJ	14.25
527	AUTOBANCO CRUCE SAN LUIS 	14.25
528	LA CONCHA	14.25
530	AUTOBANCO CHIMALTENANGO	14.25
531	MULTIMAYOREO	14.25
532	PRADERA LINDA VISTA	14.25
534	AUTOBANCO FRAY BARTOLOME DE LAS CASAS	14.25
535	TIERRA BLANCA	14.25
536	TRAPICHE	14.25
537	GRAN KARMEL	14.25
540	CC LA DOCE	14.25
542	OJ ANTIGUA GUATEMALA	14.25
543	MERCADO ANTIGUA GUATEMALA	14.25
545	PRADERA CHIQUIMULA	14.25
546	WAY ZONA 6 PARROQUIA 	14.25
551	CENTRO COMERCIAL EL JAULON	14.25
554	HUITAN QUETZALTENANGO	14.25
555	SAN ANTONIO AGUAS CALIENTES	14.25
557	MERCADO SANTA LUISA	14.25
558	SAN MARTIN SACATEPEQUEZ	14.25
560	SANTA APOLONIA	14.25
562	AUTOBANCO ESCUINTLA	14.25
568	AUTOBANCO CC METRO PLAZA RETALHULEU	14.25
569	SANTO TOMAS LA UNION SUCHITEPEQUEZ	14.25
571	DIMACO PAJAPITA SAN MARCOS	14.25
572	RENAP SANTA CATARINA PINULA	28.49
574	SANTA MARIA DE JESUS	14.25
575	COLOTENANGO	14.25
576	TANQUE LA UNION ANTIGUA	14.25
577	DGAC MUNDO MAYA PETEN	14.25
578	AUTOBANCO JAGUAR AEROPUERTO MUNDO MAYA	14.25
580	AUTOBANCO JAGUAR SAN BENITO	14.25
581	EL ADELANTO	14.25
582	AUTOBANCO El TEJAR	28.49
583	AUTOBANCO JAGUAR POPTUN	14.25
589	ALDEA LA ERMITA	14.25
590	SUPER DEL BARRIO CARRETERA AL ATLANTICO	14.25
591	LA MAQUINA 2	14.25
592	ZUNILITO	14.25
593	SAN FRANCISCO ZAPOTITLAN 	14.25
594	CABALLO BLANCO	14.25
595	CHINAUTLA	14.25
596	MEGAMEDICA ZACAPA	14.25
601	AUTOBANCO ENTRE RIOS	14.25
613	COLONIA MAYA	14.25
614	SANTA ELENA BARILLAS	14.25
615	MERCADO SAN JOSE DEL GOLFO	28.49
622	UNIVERSIDAD PANAMERICANA	14.25
623	SANTA ANA PETEN	14.25
624	C.C. PASEO LAS PALMAS RETALHULEU	14.25
627	LA PARROQUIA ZONA REYNA	14.25
629	MERCADO NUEVA CONCEPCION	14.25
630	CENTRO COMERCIAL CATALINA VILLA NUEVA	14.25
634	SUPERDICASA LA DEMOCRACIA	14.25
635	SAN SEBASTIAN COATAN	14.25
637	SAN JUAN ERMITA CHIQUIMULA	14.25
638	SAN JACINTO	14.25
639	GRAMEEN SACAPULAS	14.25
643	MEGAPACA PASEO SAN NICOLAS	14.25
646	MEGAPACA VILLA NUEVA	14.25
649	ACATENANGO	14.25
652	SAT CUILAPA	14.25
654	SAN VICENTE PACAYA	28.49
656	GRAMEEN SANTA CLARA LA LAGUNA	14.25
657	SAN PEDRO YEPOCAPA	14.25
659	C.C. ESKALA ROOSEVELT	14.25
660	CC ALTAVISTA	14.25
661	PLAZA FINACIERA CENTRA SUR	14.25
662	PORTUARIA QUETZAL (PTO)	14.25
663	DEL MAESTRO ZONA 1	14.25
664	SANTA CRUZ NARANJO	14.25
667	GUINEALES	14.25
669	PASEO DE LAS AMERICAS XELA	14.25
671	MUNICIPALIDAD FRAIJANES	14.25
675	SAN JOSE ACATEMPA	14.25
677	CALZADA MOPAN DOLORES PETEN	14.25
679	SAN PEDRO SACATEPEQUEZ CENTRO	14.25
681	SAN JOSE OJETENAM	14.25
683	SAN ANTONIO SACATEPEQUEZ	14.25
684	AUTOBANCO CHIQUIMULILLA	14.25
685	ADUANA EL CEIBO	14.25
687	LLANO GRANDE SALAMA	14.25
690	MEGAPACA EL PUNTO	14.25
691	SAN RAFAEL LA INDEPENDENCIA	14.25
692	SAN GASPAR IXCHIL	14.25
693	CC PLAZA MANANTIAL	14.25
695	MINI MUNI CUBIL	14.25
696	MINI MUNI CAMPO DE AVIACION COBAN	14.25
697	SANYUYO	14.25
698	GRAMEEN USPANTAN	14.25
699	MAGDALENA MILPAS ALTAS	14.25
700	AUTOBANCO MULTIPLAZA EL SAUCE	14.25
703	GRAMEEN HUEHUETENANGO	14.25
704	MIXCO PARQUE	14.25
705	MIX SAN CRISTOBAL	28.49
706	CUYOTENANGO	14.25
707	AUTOBANCO MEGAFERRO	14.25
714	AUTOBANCO VILLAS DEL SUR	28.49
716	SAN JUAN TECUACO	14.25
718	 SAN FRANCISCO DE ASIS	14.25
719	SANTA LUCIA CENTRO	14.25
720	QUICHE ZONA 3	14.25
721	TERMINAL QUICHE	14.25
723	CC LOS PROCERES	14.25
724	MERCADO SANTA ELENA	14.25
725	SAN VICENTE BUENABAJ	14.25
726	GALERIAS DEL SUR	14.25
727	MUNICIPALIDAD SAN RAYMUNDO	14.25
728	CHINACA	14.25
730	GRAMEEN SAN PABLO	14.25
731	CENTRA NORTE	14.25
732	SAN BARTOLO AGUAS CALIENTES	14.25
733	CC PRADERA CONCEPCION	14.25
734	LA BLANCA SAN MARCOS	14.25
735	NUEVO PROGRESO	14.25
737	GRAMEEN NEBAJ	14.25
739	PLAZA MEDICA DEL NORTE	28.49
740	MUNICIPALIDAD DE CHIMALTENANGO	14.25
741	MEGAPACA VILLA LINDA	14.25
743	OCRET	14.25
744	CENTRO COMERCIAL METRO PLAZA JUTIAPA	14.25
745	COLONIA LOS ANGELES	14.25
747	PACHALUM CALLE DE LAS FLORES	14.25
749	MEGAPACA VIP CHIQUIMULA	28.49
750	CENTRO COMERCIAL MAJADAS	14.25
751	CENTRO COMERCIAL LA TRINIDAD MALACATAN	14.25
752	UNISUPER NIMAJUYU	14.25
753	LAS CABEZAS ORATORIO	14.25
754	CALLE MARTI 12 AVENIDA	14.25
755	UNISUPER LA BRIGADA	14.25
756	UNISUPER LO DE FUENTES	14.25
757	CENTRO COMERCIAL PLAZA METROFERIA	14.25
758	GASO MOYUTA	14.25
761	PARQUE CENTRAL SAN ANTONIO HUISTA	14.25
762	MEGAPACA XELA	14.25
763	GUATELINDA SAN DIEGO	14.25
765	MUNICIPALIDAD DE SANTA CATARINA BARAHONA	14.25
766	CONTRALORIA GENERAL DE CUENTAS ZONA 13	14.25
767	MINISTERIO DE SALUD PUBLICA ZONA 9	14.25
769	CIUDAD QUETZAL	14.25
770	MUNICIPALIDAD DE SAN JOSE POAQUIL	14.25
771	SAN SEBASTIAN RETALHULEU	14.25
772	CASAS VIEJAS	14.25
773	CENTRO COMERCIAL MAYA MALL	14.25
774	EL JICARO	14.25
776	JOCOTENANGO	14.25
777	AUTOBANCO SAN MARCOS	14.25
779	KILOMETRO 11 SAN JUAN DOLORES	14.25
780	LOS ESCUDOS CHIMALTENANGO	14.25
781	CENTRO COMERCIAL SAN FRANCISCO ZONA 6 MIXCO	14.25
782	MUNICIPALIDAD DE MASAGUA	14.25
783	REGISTRO GENERAL DE LA PROPIEDAD	14.25
785	CENTRO COMERCIAL LAS FLORES AMATITLAN	14.25
786	CEALSA	14.25
787	CENTRO COMERCIAL SAN FRANCISCO	14.25
788	SAN JOSE DE LA COMUNIDAD	14.25
789	MERCADO COBAN	14.25
791	AUTOBANCO MEGAPLAZA	28.49
792	COMERCIAL PLAZA LA LIBERTAD PETEN	14.25
793	MERCADO PRIMERO DE JULIO	14.25
795	LICEO ROCA DE AYUDA	14.25
799	MUNICIPALIDAD DE QUETZALTENANGO	14.25
801	MUNICIPALIDAD RETALHULEU	14.25
802	JUMAYTEPEQUE	14.25
803	AUTOBANCO BARBERENA	14.25
804	COLIS	14.25
805	ESQUIPULAS 6A. AVENIDA	14.25
806	TZOLOJYA	14.25
808	AUTOBANCO SAMAYAC	14.25
809	EVENTOS CATOLICOS	14.25
811	LO DE REYES SAN PEDRO AYAMPUC	14.25
812	CALLE REAL SAN JOSE DEL GOLFO	14.25
813	CONGUACO	14.25
814	RENAP KOREA CENTER	14.25
815	SUPER DEL BARRIO CIUDAD REAL	14.25
819	PANORAMA EXPRESS	14.25
822	COMAPA	14.25
823	GENOVA COSTA CUCA	14.25
824	SANTA MARIA CHIQUIMULA	14.25
825	CUNOC QUETZALTENANGO	14.25
827	CORPORATIVA QUETZALTENANGO	14.25
828	RABINAL CENTRO	14.25
829	CIUDAD SATELITE	14.25
830	LAS BRISAS	14.25
831	C.C. MOLINO DE LAS FLORES	14.25
832	CENTRO COMERCIAL LA TRINIDAD COATEPEQUE	28.49
833	LAS PALMAS COATEPEQUE	14.25
834	SAN SEBASTIAN HUEHUETENANGO	14.25
836	MEGAPACA CENTRAL	14.25
837	PARQUE CENTRAL RETALHULEU (VIP)	14.25
838	LAS POZAS RIO HONDO	14.25
839	SAN ANTONIO LA PAZ	14.25
840	TAJUMUCO	14.25
841	MULTIMAYOREO ESCUINTLA	14.25
842	COLEGIO DE PROFESIONALES	14.25
843	SAN MIGUEL TOTONICAPAN	14.25
844	AUTOBANCO PALENCIA	14.25
845	CENTRO COMERCIAL REAL AMERICA	14.25
847	CUNOROC	14.25
848	RIO SAN JUAN AGUACATAN	14.25
849	CENTRO COMERCIAL LA ISLA	14.25
850	AUTOBANCO SAN RAFAEL LAS FLORES	14.25
852	MUNICIPALIDAD SAN PABLO JOCOPILAS	14.25
853	MUNICIPALIDAD DE SAN GABRIEL	14.25
854	MUNICIPALIDAD DE SAN MIGUEL PANAN SUCHITEPEQ	14.25
855	LA REYNITA SAYAXCHE	14.25
856	CONTEPEQUE ATESCATEMPA JUTIAPA	14.25
858	TECTITAN	14.25
859	LA TERMINAL USPANTAN	14.25
860	AUTOBANCO SAN MARTIN JILOTEPEQUE	14.25
861	SAN PEDRO JOCOPILAS	14.25
863	PATZITE	14.25
864	EL INJERTO LA LIBERTAD	14.25
865	AUTOBANCO CALZADA ASTURIAS	14.25
869	PANORAMA XELA	14.25
870	MORALES CENTRO	14.25
871	LA BARRANCA GRANDE	14.25
872	BUENOS AIRES	14.25
875	AUTOBANCO AMBERES	14.25
876	SIPACAPA SAN MARCOS	14.25
877	AUTOBANCO MAYUELAS	14.25
878	AUTOBANCO PLAYITAS	14.25
879	MUNICIPALIDAD SAN PEDRO AYAMPUC	14.25
881	SAN MIGUEL SIGUILA	14.25
882	OLINTEPEQUE	14.25
883	ARGUETA	14.25
884	MINISTERIO DE GOBERNACION	14.25
885	MERCADO LA DEMOCRACIA XELA	14.25
886	LA ESPERANZA	14.25
887	AUTOBANCO CONDADO SAN CRISTOBAL TOTONICAPAN	14.25
888	MUXBAL	28.49
889	MUNICIPALIDAD DE JALAPA	14.25
890	PUERTO DE IZTAPA	14.25
891	GUANAGAZAPA	14.25
892	PASACO	14.25
893	PALESTINA LAS CRUCES	14.25
895	ALDEA EL OBRAJUELO AGUA BLANCA	14.25
896	TIUCAL ASUNCION MITA JUTIAPA	14.25
906	 	14.25
919	 	28.49
920	 	14.25
1000	Mercado Sipacate	14.25
1001	AUTOBANCO CIUDAD QUETZAL	14.25
1003	AUTOBANCO EL PORVENIR / EL CARMEN	14.25
1004	2do. REGISTRO DE LA PROPIEDAD	14.25
1005	AUTOBANCO PLAZA MINERVA CHIQUIMULA	14.25
1006	AUTOBANCO PLAZA LOS PINOS QUETZALTEPEQUE	14.25
1007	MERCADO SANTA CATARINA	14.25
1008	MANZANOTES	14.25
1009	PLAZA CENTRA SUR	14.25
1010	Autobanco La Democracia Escuintla	14.25
1013	CIUDAD PERONIA	14.25
1014	AUTOBANCO FALLABON	14.25
1015	EL CALVARIO	14.25
1017	MERCADO SAN BENITO	14.25
1019	PLAZA SAN FRANCISCO	14.25
1020	CENTRO COMERCIAL PORTALES ZONA 17	14.25
1021	COLEGIO DE INGENIEROS DE GUATEMALA	14.25
1022	Atlantis	14.25
1023	Naranjo Mall	14.25
1024	RENAP TOTONICAPAN	14.25
1025	ESMERALDA	14.25
1026	SEGUNDO REGISTRO DE LA PROPIEDAD	14.25
1029	CENTRO COMERCIAL TIKAL FUTURA	14.25
2083	MAXIDESPENSA VILLA NUEVA	14.25
2084	MAXI DESPENSA ROOSEVELT	14.25
2085	MAXI BODEGA AGENCIA ANEXO NO. 221	14.25
2087	MAXIDESPENSA ATLANTIDA	14.25
2088	MAXIDESPENSA TRIGALES	14.25
2089	MAXIDESPENSA HUEHUETENANGO	14.25
2090	MAXIDESPENSA CHIMALTENANGO	14.25
9369	 	14.25
